time,Hs
2023-09-21T00:00:00Z,0.28790396
2023-09-21T03:00:00Z,0.5658436
2023-09-21T06:00:00Z,0.5353588
2023-09-21T09:00:00Z,0.36553532
2023-09-21T12:00:00Z,0.3292521
2023-09-21T15:00:00Z,0.3298758
2023-09-21T18:00:00Z,0.38816336
2023-09-21T21:00:00Z,0.5495514
2023-09-22T00:00:00Z,0.6979158
2023-09-22T03:00:00Z,0.92416424
2023-09-22T06:00:00Z,1.1078404
2023-09-22T09:00:00Z,1.3236848
2023-09-22T12:00:00Z,1.3567342
2023-09-22T15:00:00Z,1.3878142
2023-09-22T18:00:00Z,1.3810636
2023-09-22T21:00:00Z,1.3760552
2023-09-23T00:00:00Z,1.2514086
2023-09-23T03:00:00Z,1.0554521
2023-09-23T06:00:00Z,0.7842992
2023-09-23T09:00:00Z,0.5907082
2023-09-23T12:00:00Z,0.55270725
2023-09-23T15:00:00Z,0.91619253
2023-09-23T18:00:00Z,1.550014
2023-09-23T21:00:00Z,2.1279883
2023-09-24T00:00:00Z,2.2405238
2023-09-24T03:00:00Z,1.7687368
2023-09-24T06:00:00Z,1.5831484
2023-09-24T09:00:00Z,1.685444
2023-09-24T12:00:00Z,2.1395118
2023-09-24T15:00:00Z,3.2381485
2023-09-24T18:00:00Z,3.939373
2023-09-24T21:00:00Z,2.884789
2023-09-25T00:00:00Z,2.3692682
2023-09-25T03:00:00Z,2.1861312
2023-09-25T06:00:00Z,2.1192412
2023-09-25T09:00:00Z,1.9739907
2023-09-25T12:00:00Z,1.787525
2023-09-25T15:00:00Z,1.7615632
2023-09-25T18:00:00Z,1.7340348
2023-09-25T21:00:00Z,1.7898179
2023-09-26T00:00:00Z,1.9642928
2023-09-26T03:00:00Z,2.1143675
2023-09-26T06:00:00Z,2.3009758
2023-09-26T09:00:00Z,2.3774385
2023-09-26T12:00:00Z,1.6872591
2023-09-26T15:00:00Z,1.3643508
2023-09-26T18:00:00Z,1.3388225
2023-09-26T21:00:00Z,1.2347865
2023-09-27T00:00:00Z,1.0881857
2023-09-27T03:00:00Z,0.94541824
2023-09-27T06:00:00Z,1.0792029
2023-09-27T09:00:00Z,1.356242
2023-09-27T12:00:00Z,2.021793
2023-09-27T15:00:00Z,3.1298392
2023-09-27T18:00:00Z,4.133934
2023-09-27T21:00:00Z,3.6021233
2023-09-28T00:00:00Z,2.8219945
2023-09-28T03:00:00Z,2.2238984
2023-09-28T06:00:00Z,1.9037436
2023-09-28T09:00:00Z,1.7995678
2023-09-28T12:00:00Z,2.0091374
2023-09-28T15:00:00Z,2.290066
2023-09-28T18:00:00Z,2.168643
2023-09-28T21:00:00Z,1.7093948
2023-09-29T00:00:00Z,1.2727094
2023-09-29T03:00:00Z,1.0954283
2023-09-29T06:00:00Z,1.0537218
2023-09-29T09:00:00Z,1.0751216
2023-09-29T12:00:00Z,1.0490285
2023-09-29T15:00:00Z,0.98397845
2023-09-29T18:00:00Z,0.9586968
2023-09-29T21:00:00Z,0.9165485
2023-09-30T00:00:00Z,0.8189987
2023-09-30T03:00:00Z,0.7390813
2023-09-30T06:00:00Z,0.6661753
2023-09-30T09:00:00Z,0.75419873
2023-09-30T12:00:00Z,1.0994624
2023-09-30T15:00:00Z,1.6645132
2023-09-30T18:00:00Z,1.9408531
2023-09-30T21:00:00Z,1.8759104
2023-10-01T00:00:00Z,1.7926989
2023-10-01T03:00:00Z,1.5932049
2023-10-01T06:00:00Z,1.3481315
2023-10-01T09:00:00Z,1.1312554
2023-10-01T12:00:00Z,0.95530754
2023-10-01T15:00:00Z,0.8107286
2023-10-01T18:00:00Z,0.7071032
2023-10-01T21:00:00Z,0.6608252
2023-10-02T00:00:00Z,0.64740294
2023-10-02T03:00:00Z,0.6196676
2023-10-02T06:00:00Z,0.5861357
2023-10-02T09:00:00Z,0.53985095
2023-10-02T12:00:00Z,0.6286478
2023-10-02T15:00:00Z,0.59907115
2023-10-02T18:00:00Z,0.56087714
2023-10-02T21:00:00Z,0.53565764
2023-10-03T00:00:00Z,0.58428484
2023-10-03T03:00:00Z,0.7361999
2023-10-03T06:00:00Z,0.91045725
2023-10-03T09:00:00Z,1.1322341
2023-10-03T12:00:00Z,1.1819645
2023-10-03T15:00:00Z,1.1267856
2023-10-03T18:00:00Z,1.0780861
2023-10-03T21:00:00Z,1.0733135
2023-10-04T00:00:00Z,1.0901694
