Date,Wave Perid,Sig Wave Height,Max Wave Period,Max Wave Height,Mean Wave Dir
21/09/2023 00:00:00,4.570,1.641,8.438,2.500,190
21/09/2023 01:00:00,4.570,1.523,6.445,2.656,198
21/09/2023 02:00:00,4.688,1.406,6.914,2.344,193
21/09/2023 03:00:00,4.688,1.523,7.148,2.500,191
21/09/2023 04:00:00,4.805,1.289,7.852,2.031,194
21/09/2023 05:00:00,4.922,1.055,12.422,1.875,201
21/09/2023 06:00:00,4.688,0.938,7.266,1.563,200
21/09/2023 07:00:00,4.453,0.820,7.734,1.719,203
21/09/2023 08:00:00,4.453,0.820,8.320,1.250,195
21/09/2023 09:00:00,4.336,0.820,5.625,1.406,184
21/09/2023 10:00:00,4.336,0.938,7.500,1.406,188
21/09/2023 11:00:00,4.219,0.938,5.977,1.875,184
21/09/2023 12:00:00,4.336,0.938,7.969,1.406,186
21/09/2023 13:00:00,4.805,0.938,6.563,1.406,183
21/09/2023 14:00:00,4.570,0.938,8.086,1.563,181
21/09/2023 15:00:00,4.922,0.938,6.445,1.406,172
21/09/2023 16:00:00,5.156,0.820,7.734,1.563,174
21/09/2023 17:00:00,5.625,0.703,8.086,1.719,184
21/09/2023 19:00:00,4.219,0.703,9.258,1.250,204
21/09/2023 20:00:00,3.867,0.820,5.977,1.250,221
21/09/2023 21:00:00,3.984,0.938,9.375,1.250,240
21/09/2023 22:00:00,3.633,0.938,3.867,1.563,240
21/09/2023 23:00:00,3.750,1.055,3.633,1.563,233
22/09/2023 00:00:00,3.750,1.055,4.336,1.563,252
22/09/2023 01:00:00,3.984,1.055,3.867,1.563,259
22/09/2023 02:00:00,4.219,1.289,4.570,1.719,273
22/09/2023 03:00:00,4.102,1.289,8.555,2.344,284
22/09/2023 04:00:00,4.219,1.523,4.219,2.188,294
22/09/2023 05:00:00,4.102,1.523,5.391,2.188,300
22/09/2023 06:00:00,3.984,1.523,4.453,2.500,301
22/09/2023 07:00:00,3.984,1.523,4.688,2.500,302
22/09/2023 08:00:00,3.984,1.523,4.570,2.344,302
22/09/2023 09:00:00,3.984,1.523,5.273,2.344,308
22/09/2023 10:00:00,4.219,1.641,4.570,2.656,308
22/09/2023 11:00:00,4.219,1.523,4.805,2.656,312
22/09/2023 12:00:00,4.453,1.641,5.859,2.500,315
22/09/2023 13:00:00,4.570,1.523,4.922,2.656,314
22/09/2023 14:00:00,4.688,1.641,4.922,3.125,316
22/09/2023 15:00:00,4.570,1.641,5.391,2.813,318
22/09/2023 16:00:00,4.336,1.758,5.156,2.500,328
22/09/2023 17:00:00,4.453,1.875,5.273,2.813,333
22/09/2023 19:00:00,4.102,1.641,4.570,2.656,339
22/09/2023 20:00:00,4.102,1.523,4.805,2.656,343
22/09/2023 21:00:00,4.102,1.523,4.453,2.344,347
22/09/2023 22:00:00,4.219,1.523,4.688,2.344,345
22/09/2023 23:00:00,4.336,1.406,4.805,2.344,346
23/09/2023 00:00:00,4.570,1.406,5.977,3.438,349
23/09/2023 01:00:00,4.570,1.172,4.453,2.031,333
23/09/2023 02:00:00,4.453,1.172,6.094,1.719,335
23/09/2023 03:00:00,4.219,1.055,4.922,1.875,332
23/09/2023 04:00:00,4.102,1.172,4.336,1.719,356
23/09/2023 05:00:00,3.867,1.055,5.156,1.875,353
23/09/2023 06:00:00,3.750,1.055,3.867,1.719,345
23/09/2023 07:00:00,3.633,0.938,3.750,1.563,350
23/09/2023 08:00:00,3.750,0.820,3.633,1.406,353
23/09/2023 09:00:00,3.633,0.703,4.102,1.406,1
23/09/2023 10:00:00,3.633,0.703,3.867,1.250,352
23/09/2023 11:00:00,3.633,0.703,4.805,1.094,330
23/09/2023 12:00:00,3.398,0.586,3.633,1.094,105
23/09/2023 13:00:00,3.047,0.820,3.164,0.938,187
