Date,Wave Perid,Sig Wave Height,Max Wave Period,Max Wave Height,Mean Wave Dir
21/09/2023 00:00:00,7.031,3.398,8.672,6.719,274
21/09/2023 01:00:00,7.148,3.281,9.375,5.781,276
21/09/2023 02:00:00,6.680,3.164,10.195,5.469,273
21/09/2023 03:00:00,7.500,3.516,9.375,5.781,277
21/09/2023 04:00:00,7.383,3.633,10.195,5.469,274
21/09/2023 05:00:00,7.266,3.281,9.492,5.625,269
21/09/2023 06:00:00,7.500,3.398,10.078,5.156,267
21/09/2023 07:00:00,7.266,3.164,11.016,5.469,264
21/09/2023 08:00:00,7.734,3.164,9.375,5.313,269
21/09/2023 09:00:00,7.617,3.164,8.320,5.625,264
21/09/2023 10:00:00,8.555,3.633,11.016,5.313,274
21/09/2023 11:00:00,8.438,3.281,11.484,5.313,274
21/09/2023 12:00:00,8.320,3.398,10.898,5.156,277
21/09/2023 13:00:00,8.438,3.398,11.016,5.469,270
21/09/2023 14:00:00,8.086,3.281,8.906,4.844,277
21/09/2023 15:00:00,8.320,3.516,9.609,5.938,276
21/09/2023 16:00:00,8.555,3.750,11.133,5.313,283
21/09/2023 17:00:00,8.555,3.750,11.367,5.313,284
21/09/2023 19:00:00,8.086,3.867,9.492,5.781,284
21/09/2023 20:00:00,7.500,3.398,10.664,5.938,278
21/09/2023 21:00:00,7.617,3.398,10.313,5.156,284
21/09/2023 22:00:00,8.320,4.102,11.133,5.156,281
21/09/2023 23:00:00,7.500,3.281,9.844,5.938,283
22/09/2023 00:00:00,7.500,3.281,10.664,5.938,284
22/09/2023 01:00:00,7.617,3.398,8.906,5.938,288
22/09/2023 02:00:00,7.734,3.633,10.898,6.250,297
22/09/2023 03:00:00,7.500,3.516,9.375,5.156,295
22/09/2023 04:00:00,7.148,3.516,11.836,5.781,302
22/09/2023 05:00:00,6.914,3.398,8.672,6.406,305
22/09/2023 06:00:00,6.914,3.281,9.492,5.156,305
22/09/2023 07:00:00,6.797,3.164,10.195,5.313,312
22/09/2023 08:00:00,6.797,3.516,10.430,4.531,316
22/09/2023 09:00:00,6.797,3.398,11.016,5.625,321
22/09/2023 10:00:00,7.031,3.750,9.492,5.156,316
22/09/2023 11:00:00,6.914,3.516,10.195,6.250,321
22/09/2023 12:00:00,7.148,3.633,8.320,6.094,319
22/09/2023 13:00:00,7.148,3.633,8.906,6.250,322
22/09/2023 14:00:00,6.680,3.164,10.664,5.938,328
22/09/2023 15:00:00,7.031,3.281,8.906,5.156,323
22/09/2023 16:00:00,7.148,3.164,9.727,5.156,323
22/09/2023 17:00:00,7.031,3.164,9.375,5.938,325
22/09/2023 19:00:00,6.914,2.695,9.141,4.688,333
22/09/2023 20:00:00,7.500,2.930,10.195,4.531,330
22/09/2023 21:00:00,6.914,2.461,9.844,3.906,323
22/09/2023 22:00:00,7.266,2.695,10.195,4.844,318
22/09/2023 23:00:00,7.148,2.344,9.727,4.063,323
23/09/2023 00:00:00,7.500,2.461,10.430,3.906,318
23/09/2023 01:00:00,7.500,2.578,9.023,4.375,321
23/09/2023 02:00:00,7.500,2.461,9.844,4.063,319
23/09/2023 03:00:00,7.617,2.344,10.078,3.750,314
23/09/2023 04:00:00,7.383,1.992,10.195,3.594,314
23/09/2023 05:00:00,6.914,1.992,8.906,3.281,309
23/09/2023 06:00:00,6.094,2.109,7.969,3.281,304
23/09/2023 07:00:00,5.859,2.109,8.789,3.125,298
23/09/2023 08:00:00,6.094,2.109,10.664,3.438,302
23/09/2023 09:00:00,5.273,2.227,5.742,3.438,193
23/09/2023 10:00:00,5.391,2.461,7.266,3.281,173
23/09/2023 11:00:00,5.508,2.695,6.563,3.906,173
23/09/2023 12:00:00,5.742,3.047,6.211,4.219,179
23/09/2023 13:00:00,5.625,3.164,6.797,5.000,176
23/09/2023 14:00:00,5.859,3.164,7.148,4.844,176
23/09/2023 15:00:00,5.859,3.164,7.500,5.781,180
23/09/2023 16:00:00,5.977,3.281,7.852,4.688,183
23/09/2023 17:00:00,6.211,3.281,8.086,5.781,194
23/09/2023 19:00:00,7.031,3.633,8.438,7.813,208
23/09/2023 20:00:00,7.500,3.750,8.555,5.625,214
23/09/2023 21:00:00,8.086,4.102,16.758,6.563,222
23/09/2023 22:00:00,8.203,4.219,9.727,7.031,226
23/09/2023 23:00:00,8.789,4.805,14.883,7.656,233
24/09/2023 00:00:00,8.672,4.570,12.539,7.813,236
24/09/2023 01:00:00,8.672,4.570,14.766,6.719,232
24/09/2023 02:00:00,8.555,4.688,14.063,7.031,236
24/09/2023 03:00:00,8.203,4.336,14.766,7.031,239
24/09/2023 04:00:00,7.969,4.219,11.367,6.875,235
24/09/2023 05:00:00,7.969,4.453,11.953,6.406,238
24/09/2023 06:00:00,7.852,4.219,10.547,6.094,235
24/09/2023 07:00:00,7.500,3.750,9.258,7.656,233
24/09/2023 08:00:00,7.734,4.102,9.492,5.781,239
24/09/2023 09:00:00,7.734,3.867,14.063,6.094,235
24/09/2023 10:00:00,8.320,4.336,10.313,5.469,242
24/09/2023 11:00:00,8.320,3.984,11.133,7.031,240
24/09/2023 12:00:00,8.203,4.102,11.836,7.031,242
24/09/2023 13:00:00,7.734,3.867,10.547,5.781,239
24/09/2023 14:00:00,7.617,3.984,8.438,7.031,239
24/09/2023 15:00:00,7.266,3.633,11.836,5.938,236
24/09/2023 16:00:00,7.383,4.102,11.133,6.094,233
24/09/2023 17:00:00,7.266,4.102,10.430,7.344,233
24/09/2023 19:00:00,7.148,4.102,10.078,5.781,235
24/09/2023 20:00:00,7.148,4.570,9.141,6.094,229
24/09/2023 21:00:00,7.031,4.453,9.141,6.719,232
24/09/2023 22:00:00,6.914,4.336,8.906,7.188,238
24/09/2023 23:00:00,6.914,4.219,9.844,7.344,240
25/09/2023 00:00:00,7.617,4.688,8.203,6.250,245
25/09/2023 01:00:00,7.734,4.922,9.375,7.188,250
25/09/2023 02:00:00,8.555,5.859,9.961,8.438,256
25/09/2023 03:00:00,9.023,6.211,9.961,9.844,259
25/09/2023 04:00:00,9.492,6.797,11.133,9.844,263
25/09/2023 05:00:00,8.789,5.625,14.063,8.438,259
25/09/2023 06:00:00,8.672,5.391,14.883,9.531,256
25/09/2023 07:00:00,8.906,5.859,12.070,9.844,259
25/09/2023 08:00:00,8.555,5.508,9.023,8.750,256
25/09/2023 09:00:00,8.438,5.156,10.430,7.969,260
25/09/2023 10:00:00,8.555,5.156,11.836,9.375,260
25/09/2023 11:00:00,7.734,4.570,10.430,8.594,250
25/09/2023 12:00:00,7.734,4.805,11.719,7.656,255
25/09/2023 13:00:00,7.969,4.570,9.375,7.656,255
25/09/2023 14:00:00,8.203,4.922,11.484,7.344,256
25/09/2023 15:00:00,7.852,4.453,9.609,7.500,250
25/09/2023 16:00:00,8.438,5.039,11.250,8.594,253
25/09/2023 17:00:00,8.086,4.922,9.258,9.063,248
25/09/2023 18:00:00,8.555,5.273,11.953,7.969,259
25/09/2023 19:00:00,8.086,4.688,10.430,8.281,253
25/09/2023 20:00:00,8.086,4.922,12.422,7.969,250
25/09/2023 21:00:00,7.734,4.570,10.313,7.656,245
25/09/2023 22:00:00,7.852,4.922,10.547,6.719,243
25/09/2023 23:00:00,7.383,4.570,10.430,7.656,239
26/09/2023 00:00:00,7.266,4.336,9.961,6.875,233
26/09/2023 01:00:00,7.734,4.688,8.906,6.719,248
26/09/2023 02:00:00,7.500,4.570,13.008,6.563,249
26/09/2023 03:00:00,7.852,4.688,9.258,7.656,253
26/09/2023 04:00:00,7.969,4.805,9.844,7.188,255
26/09/2023 05:00:00,7.266,4.219,10.078,7.188,246
26/09/2023 06:00:00,7.617,4.336,10.195,7.500,250
26/09/2023 07:00:00,7.500,4.219,10.430,7.344,257
26/09/2023 08:00:00,7.266,3.867,9.492,6.094,253
26/09/2023 09:00:00,7.148,3.750,7.031,5.625,256
26/09/2023 10:00:00,7.031,3.750,9.492,5.000,249
26/09/2023 11:00:00,6.680,3.047,8.203,5.469,246
26/09/2023 12:00:00,7.148,3.516,9.375,5.156,256
26/09/2023 13:00:00,6.680,3.281,8.086,5.156,249
26/09/2023 14:00:00,6.797,3.398,8.789,5.000,250
26/09/2023 15:00:00,6.680,3.281,9.023,4.844,249
26/09/2023 16:00:00,6.797,3.047,8.320,4.844,256
26/09/2023 17:00:00,7.148,3.164,8.906,5.313,255
26/09/2023 19:00:00,7.148,3.164,9.141,5.000,255
26/09/2023 20:00:00,7.031,3.164,9.375,4.375,253
26/09/2023 21:00:00,7.031,3.047,9.727,4.688,249
26/09/2023 22:00:00,6.797,2.930,9.023,4.375,250
26/09/2023 23:00:00,6.563,2.695,8.555,5.000,240
27/09/2023 00:00:00,6.445,2.813,8.789,3.906,238
27/09/2023 01:00:00,6.445,2.813,8.672,4.063,240
27/09/2023 02:00:00,6.211,2.695,7.852,4.063,238
27/09/2023 03:00:00,6.094,2.695,8.438,3.906,235
27/09/2023 04:00:00,5.742,2.578,9.141,3.750,229
27/09/2023 05:00:00,5.859,2.930,8.906,4.219,205
27/09/2023 06:00:00,5.859,3.164,6.563,4.688,193
27/09/2023 07:00:00,5.742,3.281,7.148,4.688,162
27/09/2023 08:00:00,5.977,3.398,7.148,5.000,163
27/09/2023 09:00:00,6.563,4.453,8.203,6.875,162
27/09/2023 10:00:00,7.266,5.391,8.672,7.031,165
27/09/2023 11:00:00,7.852,6.328,9.023,9.531,173
27/09/2023 12:00:00,8.555,7.148,9.141,10.625,187
27/09/2023 13:00:00,9.492,7.617,10.781,10.000,200
27/09/2023 14:00:00,9.609,8.203,11.016,14.219,210
27/09/2023 15:00:00,9.844,8.203,12.070,12.656,222
27/09/2023 16:00:00,9.258,7.031,12.422,12.500,229
27/09/2023 17:00:00,10.195,7.969,12.070,11.250,231
27/09/2023 19:00:00,9.375,6.680,12.070,11.563,240
27/09/2023 20:00:00,9.375,7.031,11.836,10.469,245
27/09/2023 21:00:00,9.492,6.680,9.727,10.938,246
27/09/2023 22:00:00,9.258,6.211,10.547,10.625,249
27/09/2023 23:00:00,8.672,5.625,13.008,9.063,250
28/09/2023 00:00:00,8.203,5.391,11.367,9.844,255
28/09/2023 01:00:00,7.852,4.922,9.141,8.750,264
28/09/2023 02:00:00,7.617,4.570,10.078,7.188,250
28/09/2023 03:00:00,7.031,4.219,10.430,7.188,256
28/09/2023 04:00:00,7.383,4.336,10.078,6.875,249
28/09/2023 05:00:00,6.914,3.984,8.086,7.344,248
28/09/2023 06:00:00,7.031,4.102,8.438,6.875,250
28/09/2023 07:00:00,7.031,3.984,10.313,6.406,243
28/09/2023 08:00:00,7.148,4.102,8.789,6.563,242
28/09/2023 09:00:00,7.383,4.102,11.250,5.938,232
28/09/2023 10:00:00,6.914,3.516,8.672,6.250,229
28/09/2023 11:00:00,7.266,3.750,9.727,5.625,232
28/09/2023 12:00:00,7.031,3.516,9.727,5.625,226
28/09/2023 13:00:00,6.797,3.047,9.023,5.625,228
28/09/2023 14:00:00,6.797,3.281,9.844,5.625,245
28/09/2023 15:00:00,6.563,2.930,8.320,5.156,238
28/09/2023 16:00:00,6.797,2.930,8.438,4.375,238
28/09/2023 17:00:00,6.797,2.930,8.672,4.844,243
28/09/2023 19:00:00,6.445,2.813,8.203,4.531,246
28/09/2023 20:00:00,6.914,3.047,8.438,4.688,255
28/09/2023 21:00:00,6.680,2.930,8.438,5.000,253
28/09/2023 22:00:00,6.914,3.516,8.555,5.156,262
28/09/2023 23:00:00,7.383,3.633,10.781,6.094,266
29/09/2023 00:00:00,7.969,3.984,10.313,6.250,269
29/09/2023 01:00:00,7.734,3.984,9.141,6.563,271
29/09/2023 02:00:00,7.734,3.750,10.664,6.563,267
29/09/2023 03:00:00,7.617,3.750,9.844,5.469,267
29/09/2023 04:00:00,7.500,3.398,9.961,5.469,269
29/09/2023 05:00:00,7.266,3.281,10.195,5.313,267
29/09/2023 06:00:00,7.852,3.633,9.727,5.938,271
29/09/2023 07:00:00,7.266,3.281,9.492,5.938,270
29/09/2023 08:00:00,7.500,3.398,8.789,4.844,271
